epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,5635.41,1.1852,0.64042,1.03665,0.83735,0.773,0.81231,0.50735,1.09863,0.54383,0.97874,0.000668375,0.000668375,0.000668375
96,5695.16,1.1865,0.63533,1.03848,0.82787,0.76302,0.80531,0.50634,1.0946,0.54254,0.97605,0.000662188,0.000662188,0.000662188
97,5754.78,1.17482,0.62925,1.04036,0.86255,0.76058,0.8199,0.50714,1.08664,0.544,0.9734,0.000656,0.000656,0.000656
98,5814.5,1.19346,0.64178,1.04403,0.83502,0.77323,0.80633,0.50302,1.09097,0.54871,0.97648,0.000649813,0.000649813,0.000649813
99,5874.33,1.19774,0.64306,1.04033,0.84616,0.77165,0.80856,0.5041,1.08573,0.54986,0.97552,0.000643625,0.000643625,0.000643625
100,5934.13,1.18836,0.64027,1.04155,0.85173,0.76499,0.81152,0.49491,1.08523,0.55026,0.97828,0.000637437,0.000637437,0.000637437
101,5993.79,1.18055,0.62586,1.03546,0.83536,0.78903,0.829,0.5087,1.08657,0.54116,0.97989,0.00063125,0.00063125,0.00063125
102,6053.69,1.17282,0.62931,1.03722,0.86166,0.7805,0.83146,0.51938,1.0783,0.53936,0.97186,0.000625062,0.000625062,0.000625062
103,6113.47,1.19893,0.64146,1.0386,0.84648,0.77772,0.81904,0.51405,1.08607,0.54286,0.97372,0.000618875,0.000618875,0.000618875
104,6172.77,1.17178,0.63008,1.02246,0.84581,0.77193,0.82518,0.51686,1.07269,0.5356,0.97411,0.000612687,0.000612687,0.000612687
105,6230.68,1.1634,0.62445,1.0285,0.86016,0.75751,0.82121,0.51861,1.07446,0.53193,0.96823,0.0006065,0.0006065,0.0006065
106,6288.44,1.15131,0.61487,1.03215,0.87407,0.78266,0.8281,0.51675,1.07119,0.53585,0.96608,0.000600313,0.000600313,0.000600313
107,6346.15,1.1668,0.62348,1.01292,0.8555,0.78228,0.82594,0.52311,1.0647,0.53262,0.96943,0.000594125,0.000594125,0.000594125
108,6403.97,1.16979,0.61529,1.02587,0.84988,0.77567,0.82496,0.5194,1.06303,0.52959,0.96782,0.000587938,0.000587938,0.000587938
109,6461.77,1.17857,0.62593,1.02769,0.86908,0.78281,0.83486,0.5237,1.06933,0.53098,0.96906,0.00058175,0.00058175,0.00058175
110,6519.56,1.16525,0.61578,1.02501,0.86286,0.77445,0.8364,0.52372,1.07874,0.53244,0.97006,0.000575563,0.000575563,0.000575563
111,6577.48,1.15844,0.60576,1.00972,0.87264,0.7824,0.83369,0.52439,1.06666,0.51849,0.96083,0.000569375,0.000569375,0.000569375
112,6635.28,1.1602,0.61847,1.02314,0.85461,0.77359,0.82321,0.52522,1.06287,0.52293,0.96211,0.000563187,0.000563187,0.000563187
113,6693.28,1.17779,0.62563,1.03121,0.872,0.7695,0.82772,0.52593,1.05976,0.52233,0.96508,0.000557,0.000557,0.000557
114,6751.48,1.14253,0.60884,1.01609,0.87959,0.7806,0.83356,0.52714,1.06591,0.52981,0.96728,0.000550813,0.000550813,0.000550813
115,6809.89,1.16475,0.61875,1.02074,0.85805,0.79054,0.82682,0.52305,1.06541,0.52825,0.96581,0.000544625,0.000544625,0.000544625
116,6868.4,1.13984,0.6049,1.01151,0.87245,0.7736,0.82993,0.52725,1.06289,0.52573,0.96518,0.000538438,0.000538438,0.000538438
117,6926.68,1.14177,0.61117,1.02192,0.87724,0.78266,0.83259,0.52253,1.06251,0.52514,0.96362,0.00053225,0.00053225,0.00053225
